Optimized EHL Solver Init
Step 160/329 | Load err=4.5635e-01 | Res=1.7143e-01 | Iters=0 | Step time=0.096s | Total time=35.3s
Step 161/329 | Load err=4.6146e-01 | Res=1.7919e-01 | Iters=0 | Step time=0.096s | Total time=35.4s
Step 162/329 | Load err=4.6692e-01 | Res=1.8748e-01 | Iters=0 | Step time=0.096s | Total time=35.5s
Step 163/329 | Load err=4.7268e-01 | Res=1.9623e-01 | Iters=0 | Step time=0.096s | Total time=35.6s
Step 164/329 | Load err=4.7871e-01 | Res=2.0539e-01 | Iters=0 | Step time=0.096s | Total time=35.7s
Step 165/329 | Load err=4.8496e-01 | Res=2.1487e-01 | Iters=0 | Step time=0.096s | Total time=35.8s
Step 166/329 | Load err=4.9138e-01 | Res=2.2460e-01 | Iters=0 | Step time=0.096s | Total time=35.9s
Step 167/329 | Load err=4.9790e-01 | Res=2.3452e-01 | Iters=0 | Step time=0.096s | Total time=36.0s
Step 168/329 | Load err=5.0450e-01 | Res=2.4453e-01 | Iters=0 | Step time=0.096s | Total time=36.0s
Step 169/329 | Load err=5.1110e-01 | Res=2.5457e-01 | Iters=0 | Step time=0.096s | Total time=36.1s
Step 170/329 | Load err=5.1767e-01 | Res=2.6456e-01 | Iters=0 | Step time=0.096s | Total time=36.2s
Step 171/329 | Load err=5.2414e-01 | Res=2.7444e-01 | Iters=0 | Step time=0.096s | Total time=36.3s
Step 172/329 | Load err=5.3050e-01 | Res=2.8413e-01 | Iters=0 | Step time=0.096s | Total time=36.4s
Step 173/329 | Load err=5.3669e-01 | Res=2.9356e-01 | Iters=0 | Step time=0.096s | Total time=36.5s
Step 174/329 | Load err=5.4267e-01 | Res=3.0269e-01 | Iters=0 | Step time=0.096s | Total time=36.6s
Step 175/329 | Load err=5.4842e-01 | Res=3.1146e-01 | Iters=0 | Step time=0.097s | Total time=36.7s
Step 176/329 | Load err=5.5390e-01 | Res=3.1983e-01 | Iters=0 | Step time=0.097s | Total time=36.8s
Step 177/329 | Load err=5.5909e-01 | Res=3.2775e-01 | Iters=0 | Step time=0.097s | Total time=36.9s
Step 178/329 | Load err=5.6396e-01 | Res=3.3521e-01 | Iters=0 | Step time=0.097s | Total time=37.0s
Step 179/329 | Load err=5.6851e-01 | Res=3.4218e-01 | Iters=0 | Step time=0.097s | Total time=37.1s
Step 180/329 | Load err=5.7273e-01 | Res=3.4866e-01 | Iters=0 | Step time=0.097s | Total time=37.2s
Step 181/329 | Load err=5.7663e-01 | Res=3.5466e-01 | Iters=0 | Step time=0.097s | Total time=37.3s
Step 182/329 | Load err=5.8022e-01 | Res=3.6020e-01 | Iters=0 | Step time=0.097s | Total time=37.4s
Step 183/329 | Load err=5.8352e-01 | Res=3.6528e-01 | Iters=0 | Step time=0.098s | Total time=37.5s
Step 184/329 | Load err=5.8655e-01 | Res=3.6996e-01 | Iters=0 | Step time=0.097s | Total time=37.6s
Step 185/329 | Load err=5.8934e-01 | Res=3.7428e-01 | Iters=0 | Step time=0.097s | Total time=37.7s
Step 186/329 | Load err=5.9193e-01 | Res=3.7828e-01 | Iters=0 | Step time=0.097s | Total time=37.8s
Step 187/329 | Load err=5.9435e-01 | Res=3.8204e-01 | Iters=0 | Step time=0.097s | Total time=37.9s
Step 188/329 | Load err=5.9665e-01 | Res=3.8561e-01 | Iters=0 | Step time=0.096s | Total time=38.0s
Step 189/329 | Load err=5.9886e-01 | Res=3.8906e-01 | Iters=0 | Step time=0.096s | Total time=38.1s
Step 190/329 | Load err=6.0104e-01 | Res=3.9247e-01 | Iters=0 | Step time=0.096s | Total time=38.2s
Step 191/329 | Load err=6.0323e-01 | Res=3.9589e-01 | Iters=0 | Step time=0.096s | Total time=38.3s
Step 192/329 | Load err=6.0547e-01 | Res=3.9940e-01 | Iters=0 | Step time=0.096s | Total time=38.4s
Step 193/329 | Load err=6.0780e-01 | Res=4.0305e-01 | Iters=0 | Step time=0.099s | Total time=38.5s
Step 194/329 | Load err=6.1024e-01 | Res=4.0689e-01 | Iters=0 | Step time=0.096s | Total time=38.6s
Step 195/329 | Load err=6.1282e-01 | Res=4.1094e-01 | Iters=0 | Step time=0.096s | Total time=38.7s
Step 196/329 | Load err=6.1554e-01 | Res=4.1523e-01 | Iters=0 | Step time=0.096s | Total time=38.8s
Step 197/329 | Load err=6.1840e-01 | Res=4.1974e-01 | Iters=0 | Step time=0.096s | Total time=38.8s
Step 198/329 | Load err=6.2138e-01 | Res=4.2445e-01 | Iters=0 | Step time=0.096s | Total time=38.9s
Step 199/329 | Load err=6.2444e-01 | Res=4.2930e-01 | Iters=0 | Step time=0.096s | Total time=39.0s
Step 200/329 | Load err=6.2752e-01 | Res=4.3419e-01 | Iters=0 | Step time=0.096s | Total time=39.1s
Step 201/329 | Load err=6.3053e-01 | Res=4.3899e-01 | Iters=0 | Step time=0.096s | Total time=39.2s
Step 202/329 | Load err=6.3337e-01 | Res=4.4352e-01 | Iters=0 | Step time=0.096s | Total time=39.3s
Step 203/329 | Load err=6.3588e-01 | Res=4.4755e-01 | Iters=0 | Step time=0.096s | Total time=39.4s
Step 204/329 | Load err=6.3789e-01 | Res=4.5083e-01 | Iters=0 | Step time=0.096s | Total time=39.5s
Step 205/329 | Load err=6.3920e-01 | Res=4.5300e-01 | Iters=0 | Step time=0.096s | Total time=39.6s
Step 206/329 | Load err=6.3955e-01 | Res=4.5370e-01 | Iters=0 | Step time=0.096s | Total time=39.7s
Step 207/329 | Load err=6.3867e-01 | Res=4.5245e-01 | Iters=0 | Step time=0.096s | Total time=39.8s
Step 208/329 | Load err=6.3622e-01 | Res=4.4876e-01 | Iters=0 | Step time=0.096s | Total time=39.9s
Step 209/329 | Load err=6.3183e-01 | Res=4.4204e-01 | Iters=0 | Step time=0.096s | Total time=40.0s
Step 210/329 | Load err=6.2511e-01 | Res=4.3166e-01 | Iters=0 | Step time=0.096s | Total time=40.1s
Step 211/329 | Load err=6.1559e-01 | Res=4.1693e-01 | Iters=0 | Step time=0.096s | Total time=40.2s
